순번,산업분류코드,산업분류명칭,데이터기준일
382,20491,감광 재료 및 관련 화학제품 제조업,2022-08-02
383,20492,가공 및 정제염 제조업,2022-08-02
384,20493,접착제 및 젤라틴 제조업,2022-08-02
385,20494,화약 및 불꽃제품 제조업,2022-08-02
386,20495,바이오 연료 및 혼합물 제조업,2022-08-02
387,20499,그 외 기타 분류 안된 화학제품 제조업,2022-08-02
388,205,화학섬유 제조업,2022-08-02
389,2050,화학섬유 제조업,2022-08-02
390,20501,합성섬유 제조업,2022-08-02
391,20502,재생 섬유 제조업,2022-08-02
392,21,의료용 물질 및 의약품 제조업,2022-08-02
393,211,기초 의약 물질 및 생물학적 제제 제조업,2022-08-02
394,2110,기초 의약 물질 및 생물학적 제제 제조업,2022-08-02
395,21101,의약용 화합물 및 항생물질 제조업,2022-08-02
396,21102,생물학적 제제 제조업,2022-08-02
397,212,의약품 제조업,2022-08-02
398,2121,완제 의약품 제조업,2022-08-02
399,21210,완제 의약품 제조업,2022-08-02
400,2122,한의약품 제조업,2022-08-02
401,21220,한의약품 제조업,2022-08-02
402,2123,동물용 의약품 제조업,2022-08-02
403,21230,동물용 의약품 제조업,2022-08-02
404,213,의료용품 및 기타 의약 관련제품 제조업,2022-08-02
405,2130,의료용품 및 기타 의약 관련제품 제조업,2022-08-02
406,21300,의료용품 및 기타 의약 관련제품 제조업,2022-08-02
407,22,고무 및 플라스틱제품 제조업,2022-08-02
408,221,고무제품 제조업,2022-08-02
409,2211,고무 타이어 및 튜브 생산업,2022-08-02
410,22111,타이어 및 튜브 제조업,2022-08-02
411,22112,타이어 재생업,2022-08-02
412,2219,기타 고무제품 제조업,2022-08-02
413,22191,고무 패킹류 제조업,2022-08-02
414,22192,산업용 그 외 비경화 고무제품 제조업,2022-08-02
415,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,2022-08-02
416,22199,그 외 기타 고무제품 제조업,2022-08-02
417,222,플라스틱 제품 제조업,2022-08-02
418,2221,1차 플라스틱제품 제조업,2022-08-02
419,22211,플라스틱 선,2022-08-02
420,22212,플라스틱 필름 제조업,2022-08-02
421,22213,플라스틱 시트 및 판 제조업,2022-08-02
422,22214,플라스틱 합성피혁 제조업,2022-08-02
423,2222,건축용 플라스틱제품 제조업,2022-08-02
424,22221,벽 및 바닥 피복용 플라스틱 제품 제조업,2022-08-02
425,22222,설치용 및 위생용 플라스틱제품 제조업,2022-08-02
426,22223,플라스틱 창호 제조업,2022-08-02
427,22229,기타 건축용 플라스틱 조립제품 제조업,2022-08-02
428,2223,포장용 플라스틱제품 제조업,2022-08-02
429,22231,플라스틱 포대,2022-08-02
430,22232,포장용 플라스틱 성형용기 제조업,2022-08-02
431,2224,기계장비 조립용 플라스틱제품 제조업,2022-08-02
432,22241,운송장비 조립용 플라스틱제품 제조업,2022-08-02
433,22249,기타 기계ㆍ장비 조립용 플라스틱제품 제조업,2022-08-02
434,2225,플라스틱 발포 성형제품 제조업,2022-08-02
435,22251,폴리스티렌 발포 성형제품 제조업,2022-08-02
436,22259,기타 플라스틱 발포 성형제품 제조업,2022-08-02
437,2229,기타 플라스틱 제품 제조업,2022-08-02
438,22291,플라스틱 접착처리 제품 제조업,2022-08-02
439,22292,플라스틱 적층,2022-08-02
440,22299,그 외 기타 플라스틱 제품 제조업,2022-08-02
441,23,비금속 광물제품 제조업,2022-08-02
442,231,유리 및 유리제품 제조업,2022-08-02
443,2311,판유리 및 판유리 가공품 제조업,2022-08-02
444,23111,판유리 제조업,2022-08-02
445,23112,안전유리 제조업,2022-08-02
446,23119,기타 판유리 가공품 제조업,2022-08-02
447,2312,산업용 유리 제조업,2022-08-02
448,23121,1차 유리제품,2022-08-02
449,23122,디스플레이 장치용 유리 제조업,2022-08-02
450,23129,기타 산업용 유리제품 제조업,2022-08-02
451,2319,기타 유리제품 제조업,2022-08-02
452,23191,가정용 유리제품 제조업,2022-08-02
453,23192,포장용 유리용기 제조업,2022-08-02
454,23199,그 외 기타 유리제품 제조업,2022-08-02
455,232,내화,2022-08-02
456,2321,내화 요업제품 제조업,2022-08-02
457,23211,정형 내화 요업제품 제조업,2022-08-02
458,23212,부정형 내화 요업제품 제조업,2022-08-02
459,2322,비내화 일반 도자기 제조업,2022-08-02
460,23221,가정용 및 장식용 도자기 제조업,2022-08-02
